team_id,minutes,zone,season_name,data.action_type,data.num_actions_for,data.goals_added_for,data.num_actions_against,data.goals_added_against
APk5LGOMOW,3382,3,2021,Interrupting,498,6.0482,532,6.5256
APk5LGOMOW,3382,3,2021,Passing,882,0.9986,920,2.0307
APk5LGOMOW,3382,3,2021,Receiving,425,-0.0011,412,-0.0046
EKXMeX3Q64,3377,3,2021,Claiming,41,0.0582,35,0.1465
EKXMeX3Q64,3377,3,2021,Dribbling,39,-0.0317,109,-0.2056
EKXMeX3Q64,3377,3,2021,Fouling,18,0.0153,20,0.0156
EKXMeX3Q64,3377,3,2021,Interrupting,542,6.0477,551,7.8126
EKXMeX3Q64,3377,3,2021,Passing,753,1.8659,902,2.0335
EKXMeX3Q64,3377,3,2021,Receiving,231,-0.002,370,-0.0028
eVq3ya6MWO,3386,3,2021,Claiming,46,-0.012,37,0.025
eVq3ya6MWO,3386,3,2021,Dribbling,83,-1.0285,117,-0.0586
eVq3ya6MWO,3386,3,2021,Fouling,8,0.0042,12,0.0112
eVq3ya6MWO,3386,3,2021,Interrupting,495,5.3528,633,7.3585
eVq3ya6MWO,3386,3,2021,Passing,708,2.0433,1075,2.1418
eVq3ya6MWO,3386,3,2021,Receiving,245,0.0009,467,-0.0014
gpMOLwl5zy,3380,3,2021,Claiming,38,0.1683,42,0.0681
gpMOLwl5zy,3380,3,2021,Dribbling,99,-0.1502,87,0.121
gpMOLwl5zy,3380,3,2021,Fouling,21,0.0011,15,0.0118
gpMOLwl5zy,3380,3,2021,Interrupting,563,7.163,634,7.3434
gpMOLwl5zy,3380,3,2021,Passing,1137,2.0656,886,1.969
gpMOLwl5zy,3380,3,2021,Receiving,590,-0.003,347,-0.0003
jYQJ19EqGR,3374,3,2021,Claiming,37,0.1265,39,0.0096
jYQJ19EqGR,3374,3,2021,Dribbling,163,-0.0689,78,-0.0482
jYQJ19EqGR,3374,3,2021,Fouling,15,0.0098,20,0.0154
jYQJ19EqGR,3374,3,2021,Interrupting,617,7.2097,535,4.1612
jYQJ19EqGR,3374,3,2021,Passing,982,2.3367,806,1.8655
jYQJ19EqGR,3374,3,2021,Receiving,489,-0.0069,315,0.001
jYQJ8EW5GR,3379,3,2021,Claiming,31,0.183,22,-0.0059
jYQJ8EW5GR,3379,3,2021,Dribbling,76,-0.0332,94,-0.0874
jYQJ8EW5GR,3379,3,2021,Fouling,13,0.0065,18,0.0137
jYQJ8EW5GR,3379,3,2021,Interrupting,596,7.5996,516,5.9134
jYQJ8EW5GR,3379,3,2021,Passing,782,1.7264,823,1.7389
jYQJ8EW5GR,3379,3,2021,Receiving,260,-0.0011,366,-0.003
kaDQ0wRqEv,3380,3,2021,Claiming,47,0.0707,27,0.0684
